All,Всички
"The backup file handler was unspecified.","Неоределен файлов ресурс за архивиране."
"Something went wrong while writing to the backup file ""%1"".","Нещо не е наред при запис на архивен файл ""%1""."
"We can't save the Cron expression.","Не може да запише Cron израз."
"You will lose any data created since the backup was made, including admin users, customers and orders.","You will lose any data created since the backup was made, including admin users, Клиенти and Поръчки."
"Are you sure you want to continue?","Сигурни ли сте, че желаете продължение?"
"This may take a few moments.","Това може да продъжи известно време."
"Be sure your store is in maintenance mode during backup.","Уверете се че магазинът е в сервизен режим по време на архивиране."
"Backup Name","Име на Архив"
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","Моля използвайте замо букви (a-z or A-Z), числа (0-9) или празно в това поле."
"Maintenance mode","Сервизен режим"
"Please put your store into maintenance mode during backup.","Моля поставете магазина в Сервизен режим по време на архивирането."
Exclude,Изключи
"Exclude media folder from backup","Изключете папката за Медия от архива"
"Please enter the password to confirm rollback.","Моля, въведете паролата, за да потвърдите възстановяването."
"This action cannot be undone.","Това действи е не може да бъде отменено."
"User Password","Потребителска парола"
"Please put your store into maintenance mode during rollback processing.","Моля поставете магазина в Сервизен режим по време на възстановяването."
"Use FTP Connection","Използвайте FTP връзка"
"FTP credentials","FTP акредитиви"
"FTP Host","FTP Хост"
"FTP Login","FTP Вход"
"FTP Password","FTP Парола"
"Magento root directory","Основна директория на Magento"
"Create Backup","Създаване на резервно копие"
Rollback,"Връщане към предишна версия"
"Enable Scheduled Backup","Разреши планирано архивиране"
Frequency,Честота
"Maintenance Mode","Режим на профилактика"
"Are you sure you want to delete the selected backup(s)?","Сигурни ли сте, че искате да изтриете избраните архиви?"
Size(bytes),"Размер (bytes)"
Type,Тип
Download,Смъкни
"Backup functionality is disabled","Функционалността за архивиране е деактивирана"
"Backup Settings","Настройки за архивиране"
"Enable Backup","Включване на архивирането"
"Scheduled Backup Type","Тип планирано архивиране"
"Save and Continue Edit","Запази и продължи редактиране"
"Default Content","Съдържание по подразбиране"
"No Default Content","Няма съдържание по подразбиране"
"Store View Specific Content","Специфично съдържание на изгледи на магазини"
"Use Default","Използвай по подразбиране"
"Related Promotions","Свързани промоции"
Rule,Правило
"Start Date","Начална дата"
"End Date","Крайна дата"
Active,Активно
Inactive,Неактивен
"Applies To","Прилага се към"
"Specify Types","Определи видове"
Visibility,Видимост
Position,Позиция
"This rule no longer exists.","Това правило вече не съществува."
"You deleted %1 record(s).","Изтрили сте %1 запис(и)."
"Please enter a name.","Моля въведете име."
"-- None --",--Никой--
"Content Area","Кънтент поле"
Footer,Футър
Header,Хедър
"Left Column","Лява колона"
"Right Column","Дясна колона"
"Rotation Mode","Режим на ротация"
"Display all instead of rotating","Показване на всички въртящи се"
"One at the time, Random","По едно и също време, случайни"
"One at the time, Series","По едно и също време, серии"
"One at the time, Shuffle","По едно и също време, разбъркани"
"Dynamic Blocks","Динамични блокове"
"Add Dynamic Block","Добавяне на динамичен блок"
"Save Dynamic Block","Записване на динамичен блок"
"Delete Dynamic Block","Изтриване на динамичен блок"
"New Dynamic Block","Нов динамичен блок"
"Are you sure you want to do this?","Наистина ли искате да направите това?"
Save,Запази
"Dynamic Block Default Content for All Store Views","Съдържание на динамичен блок по подразбиране за всички изгледи на магазини"
"Dynamic Block Properties","Cвойства на динамичен блок"
"Dynamic Block Name","Име на динамичен блок"
"Any Dynamic Block Type","Всеки тип динамичен блок"
"Specified Dynamic Block Types","Указаните типове динамични блокове"
"Dynamic Block Information","Информация за динамичен блок"
"Dynamic Block","Динамичен блок"
"Dynamic Block Type","Тип на динамичен блок"
"Are you sure you want to delete these dynamic blocks?","Наистина ли искате да изтриете тези динамични блокове?"
"Related Dynamic Blocks","Свързани динамични блокове"
"You deleted the dynamic block.","Вие изтрихте динамичият блок."
"Something went wrong while deleting dynamic block data. Please review the action log and try again.","Нещо се обърка при изтриване динамичен блок данни. Прегледайте лог файла за действие и опитайте отново."
"We cannot find a dynamic block to delete.","Не можем да намерим динамичен блок за изтриване."
"This dynamic block no longer exists.","Този динамичен блок не съществува."
"Edit Dynamic Block","Редактиране на динамичен блок"
"Please select a dynamic block(s).","Моля изберете динамичен блок(ове)."
"Something went wrong while mass-deleting dynamic blocks. Please review the action log and try again.","Нещо се обърка при масаовото изтриване на динамични блокове. Прегледайте лог файла за действия и опитайте отново."
"This dynamic block does not exist.","Този динамичен блок не съществува."
"You saved the dynamic block.","Запазихте динамичният блок."
"We cannot save the dynamic block.","Ние не можем да запишем динамичният блок."
"Manage Dynamic Blocks","Управление на динамични блокове"
"Dynamic Blocks Rotator","Ротатор на динамични блокове"
"Displays Specified or Promotion Dynamic Blocks","Показва посоченият или промоционални динамични блокове"
"Dynamic Blocks to Display","Динамични блокове да се покажат"
"Specified Dynamic Blocks","Указаните динамични блокове"
"Restrict by Dynamic Block Types","Ограничение по типове динамични блокове"
"Specify Dynamic Blocks","Задайте динамични блокове"
"Dynamic Block Template","Шаблон за динамичен блок"
"Dynamic Block Inline Template","Динамичен блок инлайн шаблон"
"Status Label","Етикет за състоянието"
"General Information","Обща информация"
"Enable Dynamic Block","Разрешаване на динамичен блок"
"Use Default Value","Използвай стойността по подразбиране"
"Cart price rules allows you to setup promotions for items that are in the shopping cart.","Правилата за цени в кошница позволяват да настроите промоции за продукти, които са в количката."
"Add Cart Price Rules","Добави правила за цени в кошницата"
"Related Catalog Price Rule","Свързани правила за цени в каталога"
"Catalog price rules allows you to setup promotions for an items in catalog.","Правилата за цени в каталога позволяват да настроите промоции за артикули в каталога."
"Add Selected","Добави избраните"
"Make sure that dynamic blocks rotator does not reference the dynamic block itself.","Уверете се, че динамичното ротиране на блокове не сочи към себе си."
"Cart Price Rule Related","Свързано с Ценивите правила в кошницата"
"Catalog Price Rule Related","Свързано с Ценовите правила в каталога"
"All Segments","Всички сегменти"
"Customer Segment","Потребителски сегмент"
"Allowed Credit Card Types","Разрешени типове кредитни карти"
"Add Rule","Добави на правило"
"Braintree Settlement Report","Braintree доклад за сетълмент"
"Sorry, but something went wrong","Съжаляваме, но нещо се обърка"
"We can't initialize checkout.","Не може да се инициира приключване на поръчката."
"No authorization transaction to proceed capture.","Няма оторизация транзакцията да продължи."
"Transaction is successful.","Транзакцията е успешнa."
"Braintree error response.","Грешка в отговора от Braintree."
"Payment method nonce can't be retrieved.","Дадения случай метод на плащане не може да бъде извлечен."
"Wrong transaction status","Грешен статус на транзакцията"
Authorize,Разреши
"Credit Card","Кредитна карта"
ending,завършващ
expires,изтича
"Please agree to all the terms and conditions before placing the order.","Моля, съгласете се с Общите условия преди пускането на поръчката."
"Transaction was failed.","Транзакцията е неуспешна."
"Please, enter valid Credit Card Number","Моля въведете валиден номер на кредитна карта"
"Please, enter valid Expiration Date","Моля въведете валидна дата на изтичане"
"Please, enter valid Card Verification Number","Моля въведете валиден номер за проверка на карта"
"Are you sure you want to delete this PayPal account","Сигурни ли сте, че искате да изтриете този PayPal акаунт"
"PayPal Account","PayPal сметка"
"PayPal Logo","Логото на PayPal"
"Credit Card Information","Информация за кредитна карта"
"Save for later use.","Запиши за по-нататъшна употреба."
"This payment is not available","Този метод на плащане не е наличен"
MM,ММ
YY,ГГ
"Please try again with another form of payment.","Моля опитайте отново с друга форма на плащане."
"Sorry, but something went wrong.","Съжаляваме, но нещо се обърка."
"Payment ","Плащане "
"Credit card type is not accepted by this merchant account.","Тип кредитна карта не се приема от този търговец сметка."
"Transaction can only be voided if status is authorized, submitted_for_settlement, or - for PayPal - settlement_pending.","Транзакцията може да бъде отказана ако статусът й authorized, submitted_for_settlement, или за PayPal - settlement_pending."
"Credit transactions cannot be refunded.","Кредитни транзакции не могат да се отказват."
"Cannot refund a transaction unless it is settled.","Не може да възстановяване транзакция, освен ако това е постоянен."
"Cannot submit for settlement unless status is authorized.","Не може да представи за уреждане, освен ако състоянието е упълномощен."
"Customer does not have any credit cards.","Клиента няма никакви кредитни карти."
"Transaction has already been completely refunded.","Транзакцията вече е напълно възстановена."
"Payment instrument type is not accepted by this merchant account.","Разплащателният инструмент не се приема от този търговец."
"Processor authorization code cannot be set unless for a voice authorization.","Кодът за одобрение на процесора не може да бъде зададено освен за разрешително на глас."
"Refund amount is too large.","Сумата за възстановяване е твърде голямa."
"Settlement amount is too large.","Стойноста на сетълмента е много голяма."
"Cannot provide a billing address unless also providing a credit card.","Не може да осигури пълен адрес за фактуриране, освен предоставяне на кредитна карта."
"Cannot refund a transaction with a suspended merchant account.","Не може да възстанови транзакция с блокирана сметка на търговец."
"Merchant account does not support refunds.","Сметката на търговеца не поддържа възстановявания."
"Cannot refund a transaction transaction in settling status on this merchant account. Try again after the transaction has settled.","Не може да се възстанови транзакция в обработка в тази сетка на търговеца. Опитайте след приключване на обработката."
"PayPal is not enabled for your merchant account.","PayPal не е активиран за вашата търговска сметка."
"Partial settlements are not supported by this processor.","Този процесор не поддържа частична обработка."
"Cannot submit for partial settlement.","Не може да се изпраща за частична обработка."
"Transaction can not be voided if status of a PayPal partial settlement child transaction is settlement_pending.","Транзакцията н може да се откаже ако състоянието на PayPal частична обраотка на дъщерна транзакция е settlement_pending."
"Too many concurrent attempts to refund this transaction. Try again later.","Твърде много едновременни опити да възстанови тази транзакция. Опитайте отново по-късно."
"Too many concurrent attempts to void this transaction. Try again later.","Твърде много едновременни опити да се анулира тази транзакция. Опитайте отново по-късно."
"Accept credit/debit cards and PayPal in your Magento store.<br/>No setup or monthly fees and your customers never leave your store to complete the purchase.","Приемайте кредитни/дебитни карти и PayPal във Вашия Magento магазин. <br/> Без настройка или месечни такси и никога не оставяйте Вашите клиенти да напуснат Вашия магазин без да завършат покупката."
"Enable this Solution","Разреши това решение"
"Enable PayPal through Braintree","Разреши PayPal чрез Braintree"
"Vault Enabled","Каса разрешена"
"Basic Braintree Settings","Основни Braintree настройки"
"Merchant ID","Идентификационен номер на търговеца"
"Public Key","Публичен ключ"
"Private Key","Частен ключ"
"Advanced Braintree Settings","Разширени Braintree настройки"
"Vault Title","Заглавие каса"
"Merchant Account ID","Търговец сметка ID"
"Advanced Fraud Protection","Разширени протекции срещу измама"
"Kount Merchant ID","Kount ID на търговец"
"CVV Verification","CVV проверка"
"Country Specific Settings","Специфични настройки по страна"
"Country Specific Credit Card Types","Типове кредитни карти за дадена страна"
"PayPal through Braintree","PayPal през Braintree"
"Override Merchant Name","Замени името на търговеца"
"Require Customer's Billing Address","Изискай адреса за фактуриране на клиента"
"Allow to Edit Shipping Address Entered During Checkout on PayPal Side","Позволи редактиране адрес, въведен по време на таксуване на PayPal страна на доставка"
"Display on Shopping Cart","Показване на количката"
"Skip Order Review","Пропусни прегледа на поръчката"
"3D Secure Verification Settings","Настройки на 3D защита за проверка"
"3D Secure Verification","Проверка на 3D защитата"
"Threshold Amount","Праг на сумата"
"Verify for Applicable Countries","Проверете за приложимите страни"
"Verify for Specific Countries","Проверява за конкретни страни"
"Dynamic Descriptors","Динамични дескриптори"
Phone,Телефон
"CVV is required.","Изисква се CVV."
"CVV must be 4 digits for American Express and 3 digits for other card types.","CVV кода трябва да бъде 4 цифри за American Express и 3 цифри за други карти."
"Expiration date is required.","Дата на изтичане е задължителна."
"Expiration date is invalid.","Дата на изтичане е невалидна."
"Expiration year is invalid. It must be between 1975 and 2201.","Годината на изтичане е невалидна. Тя трябва да бъде между 1975 и 2201."
"Expiration month is invalid.","Изтичане месец е невалиден."
"Expiration year is invalid.","Годината на изтичане е невалидна."
"Credit card number is required.","Номер на кредитна карта е необходимо."
"Credit card number is invalid.","Номер на кредитна карта е невалиден."
"Credit card number must be 12-19 digits.","Номер на кредитна карта трябва да бъде 12-19 цифри."
"Cardholder name is too long.","Картодържателя име е твърде дълго."
"CVV verification failed.","Неуспешна проверка на CVV."
"Postal code verification failed.","Неуспешна проверка на пощенски код."
"Credit card number is prohibited.","Номера на кредитна карта е забранен."
"Addresses must have at least one field filled in.","Адресите трябва да имат поне едно поле попълнено."
"Company is too long.","Твърде дълго име на фирма"
"Extended address is too long.","Разширен адрес е прекалено дълъг."
"First name is too long.","Първото име е твърде дълго."
"Last name is too long.","Фамилно име е твърде дълго."
"Locality is too long.","Местността е твърде дълга."
"Postal code is required.","Пощенски код се изисква."
"Postal code may contain no more than 9 letter or number characters.","Пощенски код може да съдържа не повече от 9 писмо или брой символи."
"Region is too long.","Регионът е твърде дълъг."
"Street address is required.","Пощенски адрес се изисква."
"Street address is too long.","Уличен адрес е прекалено дълъг."
"Postal code can only contain letters, numbers, spaces, and hyphens.","Пощенски код може да съдържа само букви, цифри, интервали и тирета."
"US state codes must be two characters to meet PayPal Seller Protection requirements.","САЩ държавни кодове трябва да бъдат два знака, за да отговорят на изискванията на PayPal за защита на продавача."
"Incomplete PayPal account information.","Непълна информация за PayPal акаунт."
"Invalid PayPal account information.","Невалидна информация за PayPal акаунт."
"PayPal Accounts are not accepted by this merchant account.","PayPal сметки не са приети от този търговец."
"Billing address format is invalid.","Формата на адреса за фактуриране е невалиден."
"Country name is not an accepted country.","Името на държавата не е приета страна."
"Country code is not accepted. Please contact the store administrator.","Кода на страната не е приет. Обърнете се към администратора на магазина."
"Provided country information is inconsistent.","Предоставената информация за дъжава е несъвместима."
"Customer has already reached the maximum of 50 addresses.","Клиентът вече е достигнал максимумът от 50 адреса."
"Address is invalid. Please contact the store administrator.","Адресът е невалиден. Обърнете се към администратора на магазина."
"Error communicating with PayPal.","Грешка при комуникация с PayPal."
"PayPal authentication expired.","PayPal удостоверяването е изтекло."
"Error executing PayPal order.","Грешка при изпълнение на PayPal поръчка."
"Error executing PayPal billing agreement.","Грешка при изпълнение на споразумение за PayPal плащане."
"Apply filters in order to get results. Only first 100 records will be displayed in the grid, you will be able to download full version of the report in .csv format.","Приложете филтри, за да получите резултати. Ще бъдат показани само първите 100 записа, ще можете да изтеглите пълната версия на доклада в .csv формат."
Select...,Изберете...
"Transaction Type","Вид транзакция"
"Payment Type","Вид плащане"
"PayPal Payment ID","ID на PayPal плащане"
"Created At","Създаден на"
"Transaction ID","ID на транзакция"
"Order ID","Номер на поръчката"
Amount,Сума
"Settlement Code","Код за уреждане"
"Settlement Response Text","Уреждане на текст за отговор"
"Refund Ids","ID за възстановяване"
"Settlement Batch ID","Партиден ID за сетълмент"
Month,Месец
Year,Година
"Stored Card","Съхранена карта"
"Credit card successfully added","Кредитна карта успешно добавена"
"Something went wrong while saving the card.","Нещо се обърка докато запазвахте страницата."
"Credit card does not exist","Кредитната карта не съществува"
"Delete Credit Card","Изтриване на кредитна карта"
"There was error deleting the credit card","Възникна грешка при изтриване на кредитна карта"
"Credit card successfully deleted","Кредитна карта успешно изтрита"
"Edit Credit Card","Редактиране на кредитна карта"
"My Credit Cards","Моите кредитни карти"
"New Credit Card","Нова кредитна карта"
"There was error during saving card data","Възникна грешка по време на записването на данни от карта"
"We can't place the order.","Не може да направите поръчка."
"Incorrect payment method.","Неправилен метод на плащане."
"We can't initialize checkout review.","Не може да започне преглед на приключване на поръчката."
"We can't update shipping method.","Не може да актуализира метода на доставка."
"The processor declined your transaction, please re-enter your payment information","Процесорът отказа вашата транзакция, въведете отново данните си за плащане"
"Transaction declined by gateway: Check card details or try another card","Траназкцията е отказана от терминала: Проверете данните на картата или опитайте друга карта"
"Transaction declined: ","Отказана транзакция: "
"The processor responded with an unknown error","Процесорът отговори с неизвестна грешка"
"Credit card type is not allowed for your country.","Тип кредитна карта не е позволен за вашата страна."
"Credit card type is not allowed for this payment method.","Тип кредитна карта не е позволен за този метод на плащане."
"Selected payment type is not allowed for billing country.","Тип плащане не е позволен за фактуриране в тази страна."
"Incomplete payment information.","Непълно плащане информация."
"Please try again later","Моля, опитайте отново по-късно"
"Can not find original authorization transaction for partial capture","Не може да намери оригиналното транзакционно разрешително за частично улавяне"
"There was an error capturing the transaction: %1.","Възникна грешка при снемането на сделката: %1."
"This refund is for a partial amount but the Transaction has not settled.","Това възстановяване е за частична сума, но транзакцията не е уредена."
"Please wait 24 hours before trying to issue a partial refund.","Моля, изчакайте 24 часа преди да се опитате да издаде частично възстановяване."
"There was an error refunding the transaction: %1.","Възникна грешка при възстановяване на транзакцията: %1."
"Some transactions are already settled or voided and cannot be voided.","Някои сделки вече са уредени или анулирани и не може да бъдат анулирани."
"Voided capture.","Улавяне на анулиран."
"There was an error voiding the transaction: %1.","Възникна грешка при анулиране на транзакцията: %1."
Invoice,Фактура
Shipment,Доставка
"Invalid Customer ID provided","Подаден невалиден ИД на клиент"
"some error","някаква грешка"
"a,b,c","а, б, в"
"Something went wrong while processing.","Нещо се е объркало при обработката."
error,грешка
exception,изключение
"Payment Information","Информация за плащане"
"Add new card","Добавяне на нова карта"
"Save this card for future use","Запишете тази карта за бъдеща употреба"
or,или
"Please confirm that you want to delete this credit card","Моля, потвърдете, че искате да изтриете тази кредитна карта"
"Cardholder Name","Име на притежателя на картата"
"* Required Fields","* Задължителни полета"
"Card Verification Number Visual Reference","Карта проверка номер визуална препратка"
"Make Default","Направи по подразбиране"
"Billing Address","Адрес за фактуриране"
Company,Фирма
Address,Адрес
State/Province,"Област / Провинция"
"Please select region, state or province","Моля изберете област или провинция"
"Zip/Postal Code","Пощенски код"
"Add Credit Card","Добавяне на кредитна карта"
"Card Number","Номер на карта"
"Is Default","Е по подразбиране"
"An error occured with payment processing.","Възникна грешка при обработка на плащането."
"Can not initialize PayPal (Braintree)","Не нможе да се инициализира PayPal (Braintree)"
"Capture action","Улавяне на действие"
"Use Vault","Използвайте трезор"
"Allow Duplicate Cards","Позволи дублиращи карти"
"Enable Credit Card auto-detection on Storefront","Разреши автоматичното откриване на кредитна карта в магазина"
"Your Kount ID","Вашият Kount ID"
"Use Cache","Използвайте кеш"
"Edit My Credit Cards","Редактиране на моите кредитни карти"
"Pay with PayPal","Плати с PayPal"
"Transaction is cancelled offline.","Транзакцията е анулирана офлайн."
"Braintree Settlement","Braintree доклад за сетълмент"
"If you don't specify the merchant account to use to process a transaction, Braintree will process it using your default merchant account.","Ако не посочите търговска сметка, която да се изпозлва за транзакцията, Braintree ще го обработи, използвайки сметката ви по подразбиране."
"Be sure to Enable Advanced Fraud Protection in Your Braintree Account in Settings/Processing Section","Не забравяйте да разрешите Разширено измама закрила в Брейнтри на профила в раздела Настройки/обработка"
"Used for direct fraud tool integration. Make sure you also contact <a href=""mailto:accounts@braintreepayments.com"">accounts@braintreepayments.com</a> to setup your Kount account.","Използва се за директна измама инструмент интеграция. Уверете се, че сте се свържете с <a href=""mailto:accounts@braintreepayments.com""> accounts@braintreepayments.com</a> да настроите профила си Kount."
"Be sure to Enable AVS and/or CVV in Your Braintree Account in Settings/Processing Section.","Уверете се че сте активирали AVS и/ии CVV във Вашата Braintree сметка в секцията Настройи/Обработка."
"It is recommended to set this value to ""PayPal"" per store views.","Препоръчително е да зададете тази стойност към ""PayPal"" на магазина изгледи."
"This feature needs be enabled first for the merchant account through PayPal technical support.","Тази функция трябва бъде разрешено първо за търговец сметка чрез PayPal техническа поддръжка."
"Also affects mini-shopping cart.","Също засяга мини количката."
"Dynamic descriptors are sent on a per-transaction basis and define what will appear on your customers credit card statements for a specific purchase.
                            The clearer the description of your product, the less likely customers will issue chargebacks due to confusion or non-recognition.
                            Dynamic descriptors are not enabled on all accounts by default. If you receive a validation error of 92203 or if your dynamic descriptors are not displaying as expected,
                            please <a href=""mailto:support@getbraintree.com"">Braintree Support</a>.","Динамичните описатели се изпращат на база транзакция и определят какво ще се изпише в обработката на кредитната карта на вашите клиенти за конкретната покупка.
                            По-ясно описание на вашия продукт, по-малка вероятност клиентът да активира възстановяване на сумата поради объркване или неразпознаване.
                            Динамичните описатели не са активирани на всички сметки по подразбиране. Ако получите грешка при одобряване 92203 или вашите инамини описатели не се изписват коректно,
                            моляп пишете на <a href=""mailto:support@getbraintree.com"">Braintree Support</a>."
"The value in the business name field of a customer's statement. Company name/DBA section must be either 3, 7 or 12 characters
                                and the product descriptor can be up to 18, 14, or 9 characters respectively (with an * in between for a total descriptor name of 22 characters).","Стойноста в полето Име на бизнес на клиентски профил. Име на компанията/DBA секцията трябва да бъде 3, 7 или 12 символа
                                а оисателя на продукт може да бъде до 18, 14, или 9 символа съответно (със * между тях за общо описателно име от 22 символа)."
"The value in the phone number field of a customer's statement. Phone must be 10-14 characters and can only contain numbers, dashes, parentheses and periods.","Стойноста в полето за телефонен номер на клиента. Телефонът трябва да е 10-14 символа и можа да съдържа цифри, наклонени, скоби и празни позиции."
"The value in the URL/web address field of a customer's statement. The URL must be 13 characters or shorter.","Стойността на URL/уеб дресното поле на клиента. Адресът URL трябва да е от 13 сивола или по късо."
"The Payment Token is not available to perform the request.","Кодът за плащане е недостъпен за да се завърши заявеното."
"Checkout failed to initialize. Verify and try again.","Не можа да се инициализира плащането Проверете и опитайте пак."
"The order wasn't placed. First, agree to the terms and conditions, then try placing your order again.","Поръчката не е заявена. Първо трябва да приемете термините и условията, след което заявете поръчката си отново."
"Paypal account","PayPal сметка"
"Coinbase account","Coinbase сметка"
"Europe bank account","Европейска банкова сметка"
"Credit card","Кредитна карта"
"Apple pay card","Apple pay карта"
"Android pay card","Android pay карта"
"Authorization expired","Изтекло разрешение"
Authorizing,Оторизиране
Authorized,Разрешен
"Gateway rejected","Отхвърлен гейтуей"
Failed,Неуспешно
"Processor declined","Процесорът отказан"
Settled,Приключено
Settling,Приключване
"Submitted for settlement","Предоставени за сетълмент"
Voided,Анулиран
Unrecognized,Неразпознат
"Settlement declined","Отказан сетълмент"
"Settlement pending","Изчакване на сетълмент"
"Settlement confirmed","Сетълмент потвърден"
Sale,Продажба
Credit,Кредит
"Vault enabled","Каса разрешена"
"Percent Discount","Процентна отстъпка"
"-- Select --","-- Избери --"
Dynamic,Динамично
Fixed,Фиксиран
"Create New Option","Създаване на нова опция"
"Bundle Items","Продукти в комплект"
"Add Products to Option","Добави продукти към опция"
"Delete Option","Изтрий опцията"
"What are you looking for?","Какво търсите?"
"Use Default Value","Използвайте стойност по подразбиране"
"There is no defined renderer for ""%1"" option type.","Няма дефиниран рендерер за тип опция ""%1""."
"Could not save child: ""%1""","Не може да се запише ""%1"""
"Product with specified sku: ""%1"" does not contain option: ""%2""","Продукт с определен кат. номер: ""%1"" не съдържа опция: ""%2"""
"Child with specified sku: ""%1"" already assigned to product: ""%2""","Подпродукт с код: ""%1"" е вече добавен към продукт: ""%2"""
"Price Range","Ценови диапазон"
"As Low as",От
Together,Заедно
Separately,Отделно
"Please specify product option(s).","Моля посочете продуктовите опции."
"The options you selected are not available.","Опциите, които избахте не са налице."
"The required options you selected are not available.","Необходимите опции, които сте избрали не са налични."
"Please select all required options.","Моля изберете всички задължителни опции."
"We can't add this item to your shopping cart right now.","Не може да добавите този елемент към вашата пазарска количка точно сега."
N/A,"Не е достъпно"
Percent,Процент
"We can't save custom-defined options for bundles with dynamic pricing.","потребителски дефинираните опции с динамично ценообразуване не могат да бъдат запазени."
"Add Selected Products","Добави избраните продукти"
"Add Option","Добави опция"
"New Option","Нова опция"
"Option Title","Заглавие на опцията"
"Default Title","Заглавие по подразбиране"
"Store View Title","Заглавие на изгледа на магазина"
"Input Type","Вмъкни тип"
Drop-down,"Падащо меню"
"Radio Buttons","Радио бутони"
Checkbox,"Квадратче за отметка"
"Multiple Select","Многоброен избор"
Required,Изискван
"Default Quantity","Количество по подразбиране"
"User Defined","Определен потребител"
"Price Type","Тип цена"
None,Никакъв
Quantity:,Количество:
"Choose a selection...","Изберете селекция..."
"Ship Bundle Items","Изпрати комплектованите продукти"
"There are no products in this option.","В тази опция няма продукти."
Default,"По подразбиране"
Ordered,Поръчан
Invoiced,Фактурирани
Shipped,Изпратен
Refunded,Възстановен
Canceled,Отказан
"As low as","Цена от"
"Regular Price","Редовна цена"
"Buy %1 with %2 discount each","Купете %1 с %2 отстъпка всяко"
"Go back to product details","Върнете се към детайлите за продукта"
"Customize and Add to Cart","Персонализирайте и добавете в количката"
"Your Customization","Вашата персонализация"
Availability,Наличност
"In stock","На склад"
"Out of stock","Изчерпано количество"
Availability:,Наличност:
"Customize %1","Персонализирай %1"
"No options of this product are available.","Няма налични опции за този продукт."
"Gift Message","Съобщение за подарък"
From:,От:
To:,До:
Message:,Съобщение:
"Product Name","Име на продукт"
"Discount Amount","Размер на отстъпката"
"Row Total","Ред общо"
"Qty Invoiced","Фактурирано кол-во"
"Qty Shipped","Експедирано количество"
"Add Products to New Option","Добави продукти към нова опция"
"Add Products to Option ""%1""","Добави продукти към опция ""%1"""
"Special Price","Специална цена"
"This is implemented for bundle products only.","Това е реализирано само за групирани продукти."
"The product with the ""%1"" SKU isn't a bundle product.","Продуктът с код ""%1"" SKU не е групиран продукт."
"The bundle product can't contain another composite product.","Групираните продукти не могат да съдържат други групирани такива."
"The product link needs an ID field entered. Enter and try again.","Връзката към продукт изисква поле ID да бъде попълнено. Попълнете и опитайте пак."
"The product link with the ""%1"" ID field wasn't found. Verify the ID and try again.","Връзката към продукт с ID ""%1"" поле не съществува. Провереде ID и опитайте пак."
"The bundle product doesn't exist. Review your request and try again.","Групираният продукт не съществува. Проверете заявката и опитайте отново."
"The option that was requested doesn't exist. Verify the entity and try again.","Опцията която заявихте не съществува. Проверете изделието и опитайте пак."
"The option couldn't be saved.","Опцията не може да бъде записана."
"""%fieldName"" is required. Enter and try again.","""%fieldName"" е задължителен. Въведете и опитайте пак."
"The option with ""%1"" ID can't be deleted.","Опцита с ID ""%1"" не може да бъде изтрита."
"""option_id"" and ""parent_id"" values should be specified","""option_id"" и ""parent_id"" стойностите трябва да бъдат посочени"
"""sku"" value should be specified","""sku"" стойност трябва да е зададена"
"Unique constraint violation found","Намерено нарушение"
Always,Винаги
"After number of attempts to login","След брой неуспешни опити за логване"
